Ref,Val,Package,PosX,PosY,Rot,Side
"C78",".1uF","C_0402_1005Metric_lines",78.867000,-106.680000,0.000000,top
"D1","RED","D_0402_1005Metric_lines",78.336000,-135.763000,0.000000,top
"D2","RED","D_0402_1005Metric_lines",90.805000,-135.913000,90.000000,top
"D3","RED","D_0402_1005Metric_lines",70.485000,-84.963000,0.000000,top
"D4","RED","D_0402_1005Metric_lines",70.485000,-94.996000,0.000000,top
"D5","RED","D_0402_1005Metric_lines",70.485000,-107.315000,90.000000,top
"D6","RED","D_0402_1005Metric_lines",69.977000,-117.094000,90.000000,top
"D7","RED","D_0402_1005Metric_lines",80.899000,-89.916000,180.000000,top
"D8","RED","D_0402_1005Metric_lines",80.899000,-100.434000,270.000000,top
"D9","RED","D_0402_1005Metric_lines",81.788000,-112.372000,270.000000,top
"D10","RED","D_0402_1005Metric_lines",81.661000,-123.294000,270.000000,top
"D11","RED","D_0402_1005Metric_lines",75.542000,-89.662000,0.000000,top
"D12","RED","D_0402_1005Metric_lines",75.311000,-100.330000,0.000000,top
"D13","RED","D_0402_1005Metric_lines",75.819000,-112.649000,0.000000,top
"D14","RED","D_0402_1005Metric_lines",75.542000,-123.063000,0.000000,top
"D15","RED","D_0402_1005Metric_lines",87.249000,-95.481000,270.000000,top
"D16","RED","D_0402_1005Metric_lines",87.249000,-105.514000,270.000000,top
"D17","RED","D_0402_1005Metric_lines",87.122000,-117.706000,270.000000,top
"D18","RED","D_0402_1005Metric_lines",87.249000,-128.501000,270.000000,top
"R1","10k","R_0402_1005Metric_lines",76.581000,-134.493000,0.000000,top
"R2","10k","R_0402_1005Metric_lines",83.797000,-131.064000,0.000000,top
"R3","130","R_0402_1005Metric_lines",76.350000,-135.763000,180.000000,top
"R4","130","R_0402_1005Metric_lines",89.662000,-136.271000,90.000000,top
"R5","2.2k","R_0402_1005Metric_lines",76.581000,-132.461000,0.000000,top
"R6","2.2k","R_0402_1005Metric_lines",89.662000,-133.223000,0.000000,top
"R7","3.3k","R_0402_1005Metric_lines",67.714000,-84.709000,0.000000,top
"R8","3.3k","R_0402_1005Metric_lines",67.714000,-94.996000,0.000000,top
"R9","3.3k","R_0402_1005Metric",67.587000,-107.823000,0.000000,top
"R10","3.3k","R_0402_1005Metric_lines",67.691000,-117.983000,0.000000,top
"R11","130","R_0402_1005Metric_lines",72.009000,-85.448000,270.000000,top
"R12","130","R_0402_1005Metric_lines",72.009000,-95.527000,270.000000,top
"R13","130","R_0402_1005Metric_lines",71.501000,-107.315000,270.000000,top
"R14","130","R_0402_1005Metric_lines",70.993000,-117.117000,270.000000,top
"R15","3.3k","R_0402_1005Metric_lines",83.693000,-89.916000,180.000000,top
"R16","3.3k","R_0402_1005Metric_lines",83.416000,-99.949000,180.000000,top
"R17","3.3k","R_0402_1005Metric_lines",84.201000,-111.887000,180.000000,top
"R18","3.3k","R_0402_1005Metric_lines",84.074000,-122.809000,180.000000,top
"R19","130","R_0402_1005Metric_lines",79.375000,-89.431000,90.000000,top
"R20","130","R_0402_1005Metric_lines",79.883000,-100.457000,90.000000,top
"R21","130","R_0402_1005Metric_lines",80.772000,-112.372000,90.000000,top
"R22","130","R_0402_1005Metric_lines",80.645000,-123.294000,90.000000,top
"R23","3.3k","R_0402_1005Metric_lines",72.667000,-89.662000,0.000000,top
"R24","3.3k","R_0402_1005Metric_lines",72.517000,-100.330000,0.000000,top
"R25","3.3k","R_0402_1005Metric_lines",72.898000,-112.649000,0.000000,top
"R26","3.3k","R_0402_1005Metric_lines",72.540000,-123.063000,0.000000,top
"R27","130","R_0402_1005Metric_lines",77.089000,-90.193000,270.000000,top
"R28","130","R_0402_1005Metric_lines",76.835000,-100.861000,270.000000,top
"R29","130","R_0402_1005Metric_lines",77.343000,-113.157000,270.000000,top
"R30","130","R_0402_1005Metric_lines",77.089000,-123.548000,270.000000,top
"R31","3.3k","R_0402_1005Metric_lines",89.662000,-94.996000,180.000000,top
"R32","3.3k","R_0402_1005Metric_lines",89.639000,-105.029000,180.000000,top
"R33","3.3k","R_0402_1005Metric_lines",89.512000,-117.221000,180.000000,top
"R34","3.3k","R_0402_1005Metric_lines",89.662000,-128.016000,180.000000,top
"R35","130","R_0402_1005Metric_lines",86.233000,-95.481000,90.000000,top
"R36","130","R_0402_1005Metric_lines",86.233000,-105.514000,90.000000,top
"R37","130","R_0402_1005Metric_lines",86.106000,-117.706000,90.000000,top
"R38","130","R_0402_1005Metric_lines",86.233000,-128.501000,90.000000,top
"R39","Omit","C_0402_1005Metric_lines",76.939000,-86.995000,0.000000,top
"R40","Omit","C_0402_1005Metric_lines",78.867000,-103.632000,0.000000,top
"U1","TLV1117LV33DCYR","SOT-23-5",77.851000,-139.192000,90.000000,top
"U2","TLC5940PWP","HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm_ThermalVias",71.247000,-136.779000,0.000000,top
"U3","TLC5940PWP","HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm_ThermalVias",84.328000,-136.779000,0.000000,top
"U4","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",69.342000,-87.626000,270.000000,top
"U5","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",69.342000,-97.663000,270.000000,top
"U6","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",69.342000,-110.490000,270.000000,top
"U7","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",69.401000,-120.718000,270.000000,top
"U8","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",82.042000,-87.253000,90.000000,top
"U9","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",81.661000,-97.282000,90.000000,top
"U10","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",82.550000,-109.220000,90.000000,top
"U11","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",82.423000,-120.142000,90.000000,top
"U12","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",74.422000,-92.329000,270.000000,top
"U13","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",74.168000,-102.997000,270.000000,top
"U14","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",74.549000,-115.316000,270.000000,top
"U15","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",74.236000,-125.798000,270.000000,top
"U16","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",88.011000,-92.329000,90.000000,top
"U17","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",88.011000,-102.362000,90.000000,top
"U18","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",87.943000,-114.495000,90.000000,top
"U19","DRV8876PWP","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias",88.011000,-125.349000,90.000000,top
